Question,Answer
Which city’s walls fell after the Israelites marched around it?,Jericho
What is the name of the river where Jesus was baptized?,Jordan River
What was the name of the blind man Jesus healed?,Bartimaeus
What did God create on the first day?,Light
What was the name of the first king of Israel?,Saul
Who was the first woman created by God?,Eve
Who built the ark?,Noah
What is the greatest commandment according to Jesus?,Love the Lord your God with all your heart
Who killed Abel?,Cain
Who was the first Christian martyr?,Stephen
Who anointed David as king?,Samuel
How many people were on Noah’s ark?,8
Which prophet was swallowed by a big fish?,Jonah
What is the first book of the Bible?,Genesis
Who is the mother of Jesus?,Mary
What was the name of the place where Jesus was crucified?,Golgotha
What did Moses part to allow the Israelites to escape Egypt?,The Red Sea
What did Jesus do at the Last Supper to his disciples?,He washed their feet
What is the first book of the Bible?,Genesis
What was the name of the sea Jesus calmed during a storm?,Sea of Galilee
What was the second plague of Egypt?,Frogs
What was the first miracle of Jesus?,Turning water into wine
Which king wanted to kill baby Jesus?,King Herod
What is the Golden Rule taught by Jesus?,Do unto others as you would have them do unto you
How did Judas Iscariot die?,He hanged himself
What did Jesus turn water into?,Wine
How many books are in the Bible?,66
Who is the mother of Jesus?,Mary
What is the Golden Rule taught by Jesus?,Do unto others as you would have them do unto you
Who was the apostle that doubted Jesus’ resurrection?,Thomas
Who was the Roman governor who sentenced Jesus to be crucified?,Pontius Pilate
Who was the first Christian martyr?,Stephen
Who was the Queen of Persia who saved the Jews?,Esther
Who was the apostle that doubted Jesus’ resurrection?,Thomas
What was the occupation of Matthew before he followed Jesus?,Tax collector
Who was the first man created by God?,Adam
Where was Jesus born?,Bethlehem
What did Jesus turn water into?,Wine
How many days did God take to create the world?,6
What did God create on the first day?,Light
How many days did it rain during the flood?,40 days
Who built the ark?,Noah
What was Peter’s occupation before following Jesus?,Fisherman
What is the name of the river where Jesus was baptized?,Jordan River
Which king wanted to kill baby Jesus?,King Herod
What was the name of Moses’ sister?,Miriam
Who is known as the father of faith?,Abraham
Who led the Israelites out of Egypt?,Moses
Which disciple denied Jesus three times?,Peter
What was the first miracle of Jesus?,Turning water into wine
Who was the first man created by God?,Adam
What type of insect did John the Baptist eat in the wilderness?,Locusts
Which city’s walls fell after the Israelites marched around it?,Jericho
How many books are in the Bible?,66
How did Judas Iscariot die?,He hanged himself
What was Paul’s name before his conversion?,Saul
Who killed Abel?,Cain
Who was the strongest man in the Bible?,Samson
How many days did Jesus fast in the wilderness?,40
How many disciples did Jesus have?,12
Who was the first woman created by God?,Eve
Who was the Roman governor who sentenced Jesus to be crucified?,Pontius Pilate
What did Solomon ask God to give him?,Wisdom
Who was the tax collector that climbed a tree to see Jesus?,Zacchaeus
Where did Moses receive the Ten Commandments?,Mount Sinai
What is the shortest verse in the Bible?,Jesus wept
How many days did Jesus fast in the wilderness?,40
What was the first miracle of Jesus?,Turning water into wine
How did Judas Iscariot die?,He hanged himself
Who was thrown into the fiery furnace but survived?,"Shadrach, Meshach, Abednego"
What was the name of the sea Jesus calmed during a storm?,Sea of Galilee
What was the name of Moses’ sister?,Miriam
Where did Moses receive the Ten Commandments?,Mount Sinai
Who was the father of King Solomon?,David
What did Jesus do at the Last Supper to his disciples?,He washed their feet
Where was Jesus born?,Bethlehem
What did Jesus turn water into?,Wine
What was Paul’s name before his conversion?,Saul
How many plagues did God send on Egypt?,10
Who was the strongest man in the Bible?,Samson
Who is the mother of Jesus?,Mary
Who anointed David as king?,Samuel
Who was the only female judge of Israel?,Deborah
How many fruits of the Spirit are mentioned in Galatians?,9
Which book of the Bible tells the story of David and Goliath?,1 Samuel
Who killed Abel?,Cain
