Question,Option1,Option2,Option3,Option4,Correct Answer
Which city’s walls fell after the Israelites marched around it?,Jordan River,Love the Lord your God with all your heart,Mount Sinai,Jericho,Jericho
What is the name of the river where Jesus was baptized?,Esther,The Red Sea,Jordan River,Saul,Jordan River
What was the name of the blind man Jesus healed?,Mary Magdalene,Bartimaeus,1 Samuel,40 days,Bartimaeus
What did God create on the first day?,Jesus wept,He washed their feet,Abraham,Light,Light
What was the name of the first king of Israel?,Mary,Samson,Saul,Loaves and fishes,Saul
Who was the first woman created by God?,He hanged himself,Eve,Love the Lord your God with all your heart,Esther,Eve
Who built the ark?,Noah,Manna,Sea of Galilee,Do unto others as you would have them do unto you,Noah
What is the greatest commandment according to Jesus?,Love the Lord your God with all your heart,Miriam,Cain,Methuselah,Love the Lord your God with all your heart
Who killed Abel?,Cain,Samuel,Jordan River,Light,Cain
Who was the first Christian martyr?,Stephen,Pontius Pilate,40 days,Methuselah,Stephen
Who anointed David as king?,Samuel,Frogs,6,Daniel,Samuel
How many people were on Noah’s ark?,Thomas,Miriam,8,Psalms,8
Which prophet was swallowed by a big fish?,Fisherman,Jonah,Abraham,Locusts,Jonah
What is the first book of the Bible?,Love the Lord your God with all your heart,Locusts,Peter,Genesis,Genesis
Who is the mother of Jesus?,Stephen,Mary,Jordan River,1 Samuel,Mary
What was the name of the place where Jesus was crucified?,Manna,Golgotha,Cain,Wine,Golgotha
What did Moses part to allow the Israelites to escape Egypt?,Revelation,Cain,The Red Sea,Mary,The Red Sea
What did Jesus do at the Last Supper to his disciples?,Samuel,He washed their feet,Mary,Zacchaeus,He washed their feet
What is the first book of the Bible?,Manna,Jesus wept,Genesis,10,Genesis
What was the name of the sea Jesus calmed during a storm?,12,Light,Sea of Galilee,Wisdom,Sea of Galilee
What was the second plague of Egypt?,Joseph,Abraham,Mount Sinai,Frogs,Frogs
What was the first miracle of Jesus?,1 Samuel,Turning water into wine,The Red Sea,Fisherman,Turning water into wine
Which king wanted to kill baby Jesus?,Moses,King Herod,Revelation,Light,King Herod
What is the Golden Rule taught by Jesus?,"Shadrach, Meshach, Abednego",Do unto others as you would have them do unto you,Jonah,Jordan River,Do unto others as you would have them do unto you
How did Judas Iscariot die?,Stephen,He hanged himself,Wine,Turning water into wine,He hanged himself
What did Jesus turn water into?,Wine,8,He washed their feet,12,Wine
How many books are in the Bible?,Revelation,66,Light,Do unto others as you would have them do unto you,66
Who is the mother of Jesus?,Mary,Psalms,"Shadrach, Meshach, Abednego",David,Mary
What is the Golden Rule taught by Jesus?,Do unto others as you would have them do unto you,1 Samuel,Moses,66,Do unto others as you would have them do unto you
Who was the apostle that doubted Jesus’ resurrection?,Thomas,Joseph,He hanged himself,Wisdom,Thomas
Who was the Roman governor who sentenced Jesus to be crucified?,Bethlehem,Pontius Pilate,He hanged himself,10,Pontius Pilate
Who was the first Christian martyr?,Stephen,66,Jesus wept,Golgotha,Stephen
Who was the Queen of Persia who saved the Jews?,Esther,Miriam,Deborah,Jericho,Esther
Who was the apostle that doubted Jesus’ resurrection?,Bartimaeus,Wine,Thomas,Frogs,Thomas
What was the occupation of Matthew before he followed Jesus?,Light,Do unto others as you would have them do unto you,40,Tax collector,Tax collector
Who was the first man created by God?,Mount Sinai,He washed their feet,King Herod,Adam,Adam
Where was Jesus born?,Bethlehem,Loaves and fishes,Garden of Eden,Mary Magdalene,Bethlehem
What did Jesus turn water into?,Wine,Jesus wept,Locusts,Zacchaeus,Wine
How many days did God take to create the world?,Jericho,Jesus wept,6,Jordan River,6
What did God create on the first day?,Bethlehem,Zacchaeus,12,Light,Light
How many days did it rain during the flood?,40 days,Loaves and fishes,Moses,Locusts,40 days
Who built the ark?,Mount Sinai,Goliath,Methuselah,Noah,Noah
What was Peter’s occupation before following Jesus?,Wine,Bethlehem,Fisherman,12,Fisherman
What is the name of the river where Jesus was baptized?,Moses,Thomas,The Red Sea,Jordan River,Jordan River
Which king wanted to kill baby Jesus?,He hanged himself,Genesis,King Herod,Loaves and fishes,King Herod
What was the name of Moses’ sister?,Miriam,Judas Iscariot,Sea of Galilee,Tax collector,Miriam
Who is known as the father of faith?,6,Abraham,Frogs,Sea of Galilee,Abraham
Who led the Israelites out of Egypt?,Saul,Moses,Deborah,Pontius Pilate,Moses
Which disciple denied Jesus three times?,Esther,Jordan River,Tax collector,Peter,Peter
What was the first miracle of Jesus?,Turning water into wine,Jonah,Peter,Cain,Turning water into wine
Who was the first man created by God?,David,Adam,Garden of Eden,Manna,Adam
What type of insect did John the Baptist eat in the wilderness?,Locusts,Daniel,Joseph,Jericho,Locusts
Which city’s walls fell after the Israelites marched around it?,Jericho,Revelation,10,Loaves and fishes,Jericho
How many books are in the Bible?,66,Saul,Deborah,Love the Lord your God with all your heart,66
How did Judas Iscariot die?,6,He hanged himself,Jordan River,1 Samuel,He hanged himself
What was Paul’s name before his conversion?,Psalms,Garden of Eden,Saul,40 days,Saul
Who killed Abel?,40,Cain,Esther,Stephen,Cain
Who was the strongest man in the Bible?,12,Turning water into wine,Samson,Bethlehem,Samson
How many days did Jesus fast in the wilderness?,Peter,12,Moses,40,40
How many disciples did Jesus have?,Mount Sinai,He washed their feet,12,Light,12
Who was the first woman created by God?,Samson,Mary Magdalene,6,Eve,Eve
Who was the Roman governor who sentenced Jesus to be crucified?,"Shadrach, Meshach, Abednego",Goliath,He hanged himself,Pontius Pilate,Pontius Pilate
What did Solomon ask God to give him?,Frogs,Wisdom,Garden of Eden,Deborah,Wisdom
Who was the tax collector that climbed a tree to see Jesus?,Adam,Abraham,He hanged himself,Zacchaeus,Zacchaeus
Where did Moses receive the Ten Commandments?,Light,Joseph,Mount Sinai,Esther,Mount Sinai
What is the shortest verse in the Bible?,Genesis,Locusts,Jesus wept,Manna,Jesus wept
How many days did Jesus fast in the wilderness?,Wisdom,1 Samuel,Peter,40,40
What was the first miracle of Jesus?,1 Samuel,Methuselah,Genesis,Turning water into wine,Turning water into wine
How did Judas Iscariot die?,Moses,He hanged himself,Frogs,6,He hanged himself
Who was thrown into the fiery furnace but survived?,"Shadrach, Meshach, Abednego",Love the Lord your God with all your heart,Methuselah,Jordan River,"Shadrach, Meshach, Abednego"
What was the name of the sea Jesus calmed during a storm?,Psalms,66,Sea of Galilee,Samson,Sea of Galilee
What was the name of Moses’ sister?,Adam,Miriam,"Shadrach, Meshach, Abednego",Cain,Miriam
Where did Moses receive the Ten Commandments?,Bartimaeus,Saul,Thomas,Mount Sinai,Mount Sinai
Who was the father of King Solomon?,Love the Lord your God with all your heart,Manna,David,Jericho,David
What did Jesus do at the Last Supper to his disciples?,Abraham,Wine,Love the Lord your God with all your heart,He washed their feet,He washed their feet
Where was Jesus born?,Peter,8,Bethlehem,Adam,Bethlehem
What did Jesus turn water into?,Wine,Pontius Pilate,Methuselah,Jordan River,Wine
What was Paul’s name before his conversion?,Peter,Jericho,Saul,Pontius Pilate,Saul
How many plagues did God send on Egypt?,12,Jordan River,10,Bethlehem,10
Who was the strongest man in the Bible?,Goliath,Joseph,Samson,"Shadrach, Meshach, Abednego",Samson
Who is the mother of Jesus?,Methuselah,Loaves and fishes,Paul,Mary,Mary
Who anointed David as king?,Cain,Samuel,Wine,Golgotha,Samuel
Who was the only female judge of Israel?,Deborah,Goliath,Pontius Pilate,Do unto others as you would have them do unto you,Deborah
How many fruits of the Spirit are mentioned in Galatians?,Revelation,Do unto others as you would have them do unto you,Manna,9,9
Which book of the Bible tells the story of David and Goliath?,Psalms,Jesus wept,Stephen,1 Samuel,1 Samuel
Who killed Abel?,Cain,Miriam,Zacchaeus,Eve,Cain
What is the longest book in the Bible?,Mary,Psalms,66,Revelation,Psalms
What did Solomon ask God to give him?,Genesis,Wisdom,9,Jonah,Wisdom
What did Solomon ask God to give him?,Sea of Galilee,Wisdom,Moses,Peter,Wisdom
Who was the first Christian martyr?,Psalms,Moses,Stephen,The Red Sea,Stephen
What was the occupation of Matthew before he followed Jesus?,Abraham,Tax collector,Psalms,40 days,Tax collector
What did Moses part to allow the Israelites to escape Egypt?,Methuselah,The Red Sea,Sea of Galilee,Abraham,The Red Sea
What did Solomon ask God to give him?,He washed their feet,Wisdom,Golgotha,8,Wisdom
What was the name of the place where Jesus was crucified?,Samuel,Peter,Golgotha,Esther,Golgotha
Which king wanted to kill baby Jesus?,King Herod,Paul,Garden of Eden,Turning water into wine,King Herod
What did Solomon ask God to give him?,Wisdom,Turning water into wine,The Red Sea,Deborah,Wisdom
Who was the first woman created by God?,Eve,King Herod,Sea of Galilee,Bartimaeus,Eve
Who interpreted dreams for the Pharaoh of Egypt?,Joseph,The Red Sea,Peter,Jonah,Joseph
What is the first book of the Bible?,Zacchaeus,Wine,12,Genesis,Genesis
What was the name of the garden where Adam and Eve lived?,Fisherman,Jesus wept,Garden of Eden,Mary Magdalene,Garden of Eden
What was the first miracle of Jesus?,Samson,Turning water into wine,10,Wisdom,Turning water into wine
Who was the only female judge of Israel?,40,Sea of Galilee,Deborah,The Red Sea,Deborah
What is the Golden Rule taught by Jesus?,6,Esther,Deborah,Do unto others as you would have them do unto you,Do unto others as you would have them do unto you
What did Jesus do at the Last Supper to his disciples?,He washed their feet,Turning water into wine,6,"Shadrach, Meshach, Abednego",He washed their feet
Who wrote most of the New Testament?,Paul,Mary,Judas Iscariot,"Shadrach, Meshach, Abednego",Paul
What was Peter’s occupation before following Jesus?,Mary Magdalene,The Red Sea,Fisherman,Jericho,Fisherman
What was the occupation of Matthew before he followed Jesus?,Stephen,Thomas,Tax collector,Genesis,Tax collector
What was the name of the blind man Jesus healed?,Daniel,Stephen,Bartimaeus,Goliath,Bartimaeus
